PC1,PC2,PC3,PC4,Tissue,age
65.56023496328753,13.289587887538389,-34.6868152070972,23.670802400029437,Pituitary,50-59
77.13633950581972,32.22097951471749,-43.59236525065379,30.190040507077384,Pituitary,40-49
76.86896267620867,28.111681889612402,-44.66734756645954,30.52924382480417,Pituitary,50-59
66.37577006673672,20.66637939965341,-37.57954601203594,25.536134813206154,Pituitary,50-59
71.52401028951479,22.26245099555985,-39.0434808097269,34.20583396142496,Pituitary,50-59
43.19083951931297,-3.94770448070709,-49.47211576121128,11.588073389024625,Pituitary,50-59
55.61717949065563,4.311883341298941,-47.20692248174027,19.821892241229047,Pituitary,40-49
-22.320210513706904,-4.838022312302869,-8.607027163439055,83.62711000304208,Skin,50-59
-28.438460659286747,-17.39150778808384,2.627206446971137,77.07611999228122,Skin,40-49
-29.76029220830392,-14.98036704742274,-4.61560261311256,77.53331127577303,Skin,50-59
-20.817175723888585,-2.583667271074561,10.432934265585805,100.28603074918193,Skin,60-69
-24.541745794836487,-5.089684222873623,7.79298245751338,95.3618547473056,Skin,60-69
-17.94673510764369,-2.3144941130017216,11.315146104829553,102.48940476485924,Skin,50-59
-17.037851870649387,-8.240274738870147,3.5722440486279186,88.43557154885622,Skin,60-69
-25.82023484025921,-8.43548679559498,1.820173355299319,91.04037613516168,Skin,50-59
-16.95416598014552,-3.184696388753967,8.927976321929712,101.16101702828455,Skin,50-59
-25.58609608892015,1.87589015618284,13.438024127513465,101.19264360062571,Skin,40-49
-30.256591649656443,-16.157421524700926,13.173891100727392,73.00864284703484,Skin,50-59
-24.095101524000782,-10.118310640034201,6.71295417226221,92.77623472492407,Skin,50-59
-25.004146437526508,-5.774298343238444,9.347062375073381,97.58728653274572,Skin,60-69
-25.739928420834637,-4.799909809537587,10.447286466572965,97.45773097991925,Skin,60-69
-22.771683530264134,-11.628292411981262,2.342939046199675,83.59707034855316,Skin,50-59
-23.527300628503095,1.0828193697691304,12.106750922446862,104.20785295005794,Skin,70-79
-20.463299761826793,-3.264922425650927,9.978749794896423,97.65603444970557,Skin,60-69
-24.22040849778497,4.744633627141953,13.114963463707785,104.67942931808994,Skin,60-69
-25.938685585414014,-2.851063362481446,17.260961926060872,105.64008623421884,Skin,70-79
-32.059189092643,-4.537406262356914,3.0127360667068546,90.47741942267568,Skin,50-59
-20.773801096290104,-0.7923717946040327,18.591374058850487,104.04746950844779,Skin,60-69
-28.098694193132705,-8.422928673618005,0.5800621528267741,89.47972917659871,Skin,60-69
-17.972028126067162,-5.834822375840028,-1.6560637029099121,77.32347155903174,Skin,60-69
-27.69284410164702,-2.359007831044918,6.544772303638627,92.47257402700228,Skin,50-59
-21.825899623999515,1.9012273943533988,13.477915649914111,106.33379857091256,Skin,60-69
-22.405204002635585,10.280095776452253,10.194213282535141,108.66449157524916,Skin,60-69
-22.83330536612573,0.6663746543737684,24.242357153686793,107.55148541041845,Skin,60-69
-17.378963460720886,18.587991397105224,16.652234045297384,114.72246445028927,Skin,50-59
-19.900619314915595,-10.037953052616546,-5.7054619577581756,85.44039401971803,Skin,50-59
-29.070550220124183,-23.050806147947547,-7.336375236992722,66.83996116217541,Skin,40-49
-22.836000669690367,-6.940373721536552,-3.234575141570562,84.76654046463604,Skin,50-59
-21.84355187304284,-1.308887809377572,-0.6669668233267219,83.50580616282917,Skin,50-59
-18.78818419046419,17.390555393428,13.94575126080748,116.6868546497523,Skin,50-59
-24.3714787935574,5.616578651831485,-0.7412756536739428,96.55040944946742,Skin,50-59
-23.26333425849401,-3.3745097986020607,5.663483629811781,96.94802401658083,Skin,40-49
6.344379817171932,-16.597197559470366,-42.95656401889434,19.47128993708105,Thyroid,50-59
-16.476076348313295,-37.31203264283599,-38.527605450733894,-4.972054289919459,Thyroid,40-49
3.4325108611417705,-20.670471881102397,-44.334048614475954,11.661204139706646,Thyroid,50-59
